source,subject,trial,list_length,mean_adjacent_distance,sd_adjacent_distance,p90_adjacent_distance,switch_rate_distance,mean_adjacent_similarity,log_frequency_likelihood,frequency_likelihood,n_relevant_bigrams,n_relevant_bigrams_rate,n_relevant_bigrams_norm
human,oaf_10145,4.10145,16.0,1.0067127665781217,0.12250805088036934,1.1511149856904734,0.2,0.5000709465943032,-1.341078033284275,0.2615635423323189,4.0,0.26666666666666666,5.226284565287348
human,oaf_10150,1.1015,16.0,0.9729126830414239,0.09701495748271798,1.0622887610465572,0.25,0.5080123055708602,-1.3081470501197539,0.2703204829153115,1.0,0.06666666666666667,2.226284565287348
human,oaf_10175,1.10175,20.0,0.9759321110628724,0.09838992505311074,1.0964229075202205,0.21428571428571427,0.5072774645869977,-1.5588650473917336,0.21037470107404818,6.0,0.3157894736842105,6.181064492001176
human,oaf_10175,3.10175,15.0,0.9499326584976368,0.07018989755545582,1.027473667643153,0.16666666666666666,0.5133933427107342,-2.461015319260282,0.08534825123750367,3.0,0.21428571428571427,4.487589583608891
human,oaf_10179,1.10179,15.0,0.9701628812680881,0.11820975423410575,1.132687725760744,0.23076923076923078,0.5092337358882504,-1.5939739472847292,0.20311683019514962,5.0,0.35714285714285715,6.487589583608891
human,oaf_10179,3.10179,10.0,1.0069049066746596,0.13836713611942578,1.1568483776897032,0.2222222222222222,0.5004189440895723,-1.698500706167365,0.18295762576182625,2.0,0.2222222222222222,4.794114675216607
human,oaf_10180,1.1018,14.0,1.0097529129628575,0.1081458578385582,1.116288008348509,0.23076923076923078,0.4989529810829051,-1.388034441417567,0.24956535819107528,3.0,0.23076923076923078,4.748894601930434
human,oaf_10191,1.10191,28.0,1.0447403189749844,0.10105216626478203,1.1734443808837651,0.2222222222222222,0.4902018027089341,-1.5500478730513716,0.21223781311180268,4.0,0.14814814814814814,2.0906243454288322
human,oaf_10191,3.10191,15.0,1.0850247373357513,0.12168891124848759,1.204200071867352,0.2,0.48093386468765686,-2.5156209651219994,0.08081271474560929,2.0,0.14285714285714285,3.4875895836088913
human,oaf_10196,1.10196,27.0,1.0322988049052422,0.12331931865364647,1.131370313246947,0.2,0.49377150612838144,-1.9413944466423738,0.14350370193735204,7.0,0.2692307692307692,5.351929363750375
human,oaf_10196,3.10196,27.0,1.0305305725689802,0.1502102162860285,1.190825384173366,0.23076923076923078,0.4950758619562388,-2.2763896794339007,0.10265415290095459,6.0,0.23076923076923078,4.351929363750375
human,oaf_10196,4.10196,19.0,1.0710680146539857,0.1496253517191801,1.2515096478417553,0.18181818181818182,0.4852861456401661,-2.9139661501922647,0.054260098837886066,3.0,0.16666666666666666,3.4423695103227194
human,oaf_10196,5.10196,23.0,1.0198152384532493,0.13682354094086924,1.1703249272601668,0.18181818181818182,0.49721334223443026,-2.2053233957029685,0.1102148765229938,2.0,0.09090909090909091,1.3971494370365471
human,oaf_10210,1.1021,31.0,1.01972929346513,0.09525449278195583,1.1094486484103918,0.2,0.49621566096317393,-1.383629432115976,0.25066712077090864,5.0,0.16666666666666666,2.306709290464203
human,oaf_10233,1.10233,28.0,1.0026097988094838,0.1013335687094303,1.1165436879866704,0.2,0.5005671894484717,-1.6815921887542093,0.18607746960043017,9.0,0.3333333333333333,7.090624345428832
human,oaf_10233,3.10233,34.0,1.0297944066582512,0.09993323107924493,1.1391477254120566,0.19230769230769232,0.49385358632146803,-1.6137131997689518,0.19914676773918924,6.0,0.18181818181818182,2.522794235499574
human,oaf_10233,4.10233,31.0,1.0011633908406952,0.14150727454391582,1.18985723060052,0.19230769230769232,0.5021215624490888,-1.4093132222873554,0.24431101290893498,6.0,0.2,3.306709290464203
human,oaf_10246,1.10246,20.0,0.9698905762523069,0.06231354130811208,1.035791613458307,0.2857142857142857,0.508085230446609,-1.7831136770562672,0.16811387916298395,5.0,0.2631578947368421,5.181064492001176
human,oaf_10248,1.10248,16.0,1.0274737817357757,0.11986735215032512,1.1580263132202748,0.18181818181818182,0.494794604512666,-1.5366755404068164,0.21509498872345778,2.0,0.13333333333333333,3.226284565287348
human,oaf_10258,1.10258,19.0,1.005667215302234,0.11461941610009027,1.1422127980854377,0.2,0.5001429278498909,-1.3188780809550409,0.26743517433351277,3.0,0.16666666666666666,3.4423695103227194
human,oaf_10258,3.10258,17.0,0.9960973156353102,0.13907677508956548,1.1539975283452648,0.21428571428571427,0.503267250636451,-1.4580708528858197,0.23268472509324428,2.0,0.125,2.964979546965805
human,oaf_10258,4.10258,16.0,0.9948024943918926,0.11705664981670075,1.1171943690280468,0.18181818181818182,0.5028836181087509,-1.4982625959694698,0.2235181643504352,5.0,0.3333333333333333,6.226284565287348
